truth,truth-time-postgres
169311.0,27.659
13007.0,11.126
303187.0,30.326
79851.0,7.934
39532.0,6.961
174263.0,26.926
8776.0,1.815
11995.0,13.254
40325.0,4.042
79851.0,7.863
1032.0,0.119
91489.0,15.932
40325.0,5.833
328064.0,32.814
79206.0,11.917
174305.0,17.405
89806.0,14.712
9994.0,2.052
328064.0,51.159
77692.0,12.403
40325.0,6.306
134887.0,23.705
12741.0,10.925
9721.0,1.874
303187.0,30.498
324079.0,53.257
78544.0,12.465
40325.0,4.081
174305.0,17.599
90613.0,17.825
10186.0,1.671
303187.0,30.64
328064.0,32.862
79851.0,7.947
40325.0,4.065
134602.0,26.415
42747.0,12.952
10805.0,1.776
302524.0,47.116
327186.0,53.499
79851.0,7.879
40325.0,4.064
172996.0,28.285
12613.0,10.117
10186.0,1.718
303187.0,30.851
261476.0,49.526
75910.0,11.726
40325.0,4.079
174305.0,17.655
42921.0,12.3
303187.0,30.656
328064.0,32.882
79683.0,11.935
39856.0,7.064
174305.0,17.583
42703.0,12.97
10607.0,1.742
69427.0,29.451
327186.0,50.716
40221.0,6.607
173805.0,26.892
91000.0,17.876
10593.0,1.675
291664.0,45.884
328064.0,32.734
40325.0,6.748
