wjsample,wjsample-time
443001.0,0.57
14642695.0,0.593
7897471.0,0.524
132886.0,0.231
25770.0,0.464
1965.0,0.427
383.0,0.178
619072.0,0.729
62505.0,0.169
27760.0,0.159
38210126.0,1.161
20608459.0,1.061
346766.0,0.494
-1.0,-1.0
11461796.0,0.503
6181868.0,0.458
890471.0,1.125
758.0,0.575
337.0,0.514
484591.0,0.43
-1.0,-1.0
29909554.0,1.226
16131582.0,0.989
533203681.0,1.031
5877.0,1.013
1391394881.0,2.471
7623324.0,0.569
4605.0,0.519
2101641.0,0.597
24342.0,0.201
7023.0,0.502
2996992.0,0.592
86548.0,0.208
260.0,0.494
138.0,0.177
76363.0,0.17
1409564.0,1.224
-1.0,-1.0
53451.0,0.595
388614.0,1.26
4501.0,0.473
2054210.0,0.493
237701.0,1.163
6864.0,0.488
2929344.0,0.496
255.0,0.455
-1.0,-1.0
4239.0,1.096
1809127.0,1.195
379837.0,1.075
232322.0,1.007
143475.0,2.138
209236.0,0.495
1158538.0,0.505
2148044.0,0.588
21935.0,0.21
48494.0,0.544
84074.0,0.54
2141.0,0.253
66922.0,0.68
31236.0,0.182
70332.0,0.192
9733651.0,1.2
18047157.0,1.296
1322.0,0.65
-1.0,-1.0
1020418.0,0.47
1891956.0,0.516
1677595.0,1.14
42721.0,0.471
74065.0,0.534
58944.0,0.433
-1.0,-1.0
26379.0,1.148
45733.0,1.19
88013956.0,1.022
1477881.0,1.054
912549.0,2.171
24601312.0,0.552
76975473.0,0.631
14139302.0,0.564
167390.0,0.204
7314275.0,0.521
1407758.0,0.55
41553.0,0.194
4342300.0,0.555
84167.0,0.183
76353.0,0.166
-1.0,-1.0
2053373082.0,1.236
174562.0,0.595
-1.0,-1.0
353578.0,0.548
320754.0,0.557
244853064.0,1.179
87772.0,0.484
79624.0,0.502
161281.0,0.498
-1.0,-1.0
368727.0,1.146
334497.0,1.156
677528.0,1.21
168189.0,1.126
706557.0,2.578
703803.0,0.609
257797181.0,0.542
14537370.0,0.593
161002.0,0.199
684597.0,0.566
40450.0,0.565
1117.0,0.217
14606579.0,0.637
264858.0,0.195
73762.0,0.196
1058603695.0,1.145
59695429.0,1.36
4748.0,0.529
-1.0,-1.0
1125732.0,0.532
313512.0,0.555
23288763.0,1.367
7810.0,0.57
2175.0,0.531
515746.0,0.51
-1.0,-1.0
33198.0,1.22
9246.0,1.179
2192086.0,1.143
15208.0,1.147
64645.0,2.598
51462.0,0.623
81064.0,0.194
5194.0,0.182
42359.0,0.271
1465351.0,0.697
79851.0,0.244
9785.0,0.568
79794.0,0.598
2760359.0,0.895
5113.0,0.447
176876.0,0.885
1465351.0,0.532
9632.0,0.885
333190.0,1.436
2760359.0,0.921
176876.0,0.857
333190.0,1.381
45444.0,0.624
3028.0,0.193
169.0,0.183
1496.0,0.161
54415.0,0.516
75948.0,0.194
321.0,0.555
2835.0,0.452
103123.0,0.868
159.0,0.453
5765.0,0.975
51755.0,0.561
300.0,0.928
10926.0,1.376
98082.0,0.816
5483.0,1.091
10392.0,1.371
596.0,0.193
88912.0,0.187
52124573.0,0.586
3051152.0,0.574
276899.0,0.177
76396.0,0.174
14470415.0,0.509
576.0,0.381
337765.0,0.746
19771.0,0.869
51190015.0,0.485
2996447.0,0.538
-1.0,-1.0
534163.0,0.548
331709.0,0.798
19417.0,0.784
11383124.0,1.459
20951262.0,1.148
135764.0,1.453
596.0,0.163
90535.0,0.142
1806520.0,0.492
3131950.0,0.548
35464.0,0.174
79851.0,0.156
619072.0,0.464
587.0,0.37
11706.0,0.684
20295.0,0.795
1806520.0,0.449
3131950.0,0.524
-1.0,-1.0
70225.0,0.446
11706.0,0.823
20295.0,0.848
404963.0,1.403
2754385.0,1.017
17848.0,1.408
596.0,0.155
89547.0,0.166
8976.0,0.524
3126889.0,0.521
174.0,0.192
78852.0,0.186
3071.0,0.473
580.0,0.389
58.0,0.676
20263.0,0.83
8878.0,0.49
3092771.0,0.581
310004.0,1.159
345.0,0.471
57.0,0.775
20041.0,0.813
2009.0,1.368
13514.0,1.051
88.0,1.384
11044.0,0.225
11460908.0,0.519
1782044.0,0.683
3100408.0,0.536
81891.0,0.206
248247.0,0.483
3267348.0,0.595
56671.0,0.202
610947.0,0.477
31979.0,0.194
72258.0,0.177
1383394.0,0.83
215102.0,0.727
